# angle in °    Max in V    Min in V
0       1.72    1.60
15      0.88    1.40
30      0.44    1.24
45      0.37    1.27
60      0.46    1.62
75      0.77    1.90
90      1.57    1.75
105     2.88    1.08
120     3.47    0.32
135     4.04    0.18
150     3.99    0.75
165     2.90    1.26
180     1.79    1.56
