# angle in °    Max in V    Min in V
0       1.67    1.57
15      0.94    1.39
30      0.55    1.27
45      0.46    1.30
60      0.55    1.62
75      0.92    1.86
90      1.53    1.69
105     2.58    1.07
120     3.42    0.40
135     3.76    0.17
150     3.81    0.62
165     2.76    1.26
180     1.70    1.56
