#R_1= 1KOhm       R_2= 100KOhm

#freq in Hz      Amp in V
10              9.7
50              9.6
100             9.6
500             9.2
1000            9.2
1500            9.3
2000            9.3
3000            9.1
4000            8.9
5000            8.6
6000            8.5
7000            8.2
9000            7.6
10000           7.2
15000           5.5
20000           4.5
25000           3.8
50000           2.1
100000          1.2

